content,data_clean_content,slang_replacement_content,tokenized_content,remove_stopwords_content,stemmed_content
seenak jidat kaula tiktok blokir produk sesuai keterangan ukuran bajunya salahin,seenak jidat kaula tiktok blokir produk sesuai keterangan ukuran bajunya salahin,seenak jidat kaula tiktok blokir produk sesuai keterangan ukuran bajunya salahin,"['seenak', 'jidat', 'kaula', 'tiktok', 'blokir', 'produk', 'sesuai', 'keterangan', 'ukuran', 'bajunya', 'salahin']","['seenak', 'jidat', 'kaula', 'tiktok', 'blokir', 'produk', 'sesuai', 'keterangan', 'ukuran', 'bajunya', 'salahin']","['enak', 'jidat', 'kaula', 'tiktok', 'blokir', 'produk', 'sesuai', 'terang', 'ukur', 'baju', 'salahin']"
aplikasi oke,aplikasi oke,aplikasi oke,"['aplikasi', 'oke']","['aplikasi', 'oke']","['aplikasi', 'oke']"
kebijakan terapkan mp inidr ulasan ulasan bintang langsg terkena pelanggran produknya blokirtp toko ulasannya mencapai ulasan negatif beroprasi kena pelanggaranmakin masuk akal kerja sistem mp inidi pengiriman gagal pembeljuang barang,kebijakan terapkan mp inidr ulasan ulasan bintang langsg terkena pelanggran produknya blokirtp toko ulasannya mencapai ulasan negatif beroprasi kena pelanggaranmakin masuk akal kerja sistem mp inidi pengiriman gagal pembeljuang barang,kebijakan terapkan mp inidr ulasan ulasan bintang langsg terkena pelanggran produknya blokirtp toko ulasannya mencapai ulasan negatif beroprasi kena pelanggaranmakin masuk akal kerja sistem mp inidi pengiriman gagal pembeljuang barang,"['kebijakan', 'terapkan', 'mp', 'inidr', 'ulasan', 'ulasan', 'bintang', 'langsg', 'terkena', 'pelanggran', 'produknya', 'blokirtp', 'toko', 'ulasannya', 'mencapai', 'ulasan', 'negatif', 'beroprasi', 'kena', 'pelanggaranmakin', 'masuk', 'akal', 'kerja', 'sistem', 'mp', 'inidi', 'pengiriman', 'gagal', 'pembeljuang', 'barang']","['kebijakan', 'terapkan', 'mp', 'inidr', 'ulasan', 'ulasan', 'bintang', 'langsg', 'terkena', 'pelanggran', 'produknya', 'blokirtp', 'toko', 'ulasannya', 'mencapai', 'ulasan', 'negatif', 'beroprasi', 'kena', 'pelanggaranmakin', 'masuk', 'akal', 'kerja', 'sistem', 'mp', 'inidi', 'pengiriman', 'gagal', 'pembeljuang', 'barang']","['bijak', 'terap', 'mp', 'inidr', 'ulas', 'ulas', 'bintang', 'langsg', 'kena', 'pelanggran', 'produk', 'blokirtp', 'toko', 'ulas', 'capai', 'ulas', 'negatif', 'beroprasi', 'kena', 'pelanggaranmakin', 'masuk', 'akal', 'kerja', 'sistem', 'mp', 'inidi', 'kirim', 'gagal', 'pembeljuang', 'barang']"
daftar id batasi ajukan laporan daftar payah,daftar id batasi ajukan laporan daftar payah,daftar id batasi ajukan laporan daftar payah,"['daftar', 'id', 'batasi', 'ajukan', 'laporan', 'daftar', 'payah']","['daftar', 'id', 'batasi', 'ajukan', 'laporan', 'daftar', 'payah']","['daftar', 'id', 'batas', 'aju', 'lapor', 'daftar', 'payah']"
tolong kode verifikasi dibilang salah,tolong kode verifikasi dibilang salah,tolong kode verifikasi dibilang salah,"['tolong', 'kode', 'verifikasi', 'dibilang', 'salah']","['kode', 'verifikasi', 'dibilang', 'salah']","['kode', 'verifikasi', 'bilang', 'salah']"
menyambung srh verifikasi ikuti arahan akun,menyambung srh verifikasi ikuti arahan akun,menyambung srh verifikasi ikuti arahan akun,"['menyambung', 'srh', 'verifikasi', 'ikuti', 'arahan', 'akun']","['menyambung', 'srh', 'verifikasi', 'ikuti', 'arahan', 'akun']","['sambung', 'srh', 'verifikasi', 'ikut', 'arah', 'akun']"
saldo mengendap cair mohon perbaiki sistem,saldo mengendap cair mohon perbaiki sistem,saldo mengendap cair mohon perbaiki sistem,"['saldo', 'mengendap', 'cair', 'mohon', 'perbaiki', 'sistem']","['saldo', 'mengendap', 'cair', 'mohon', 'perbaiki', 'sistem']","['saldo', 'endap', 'cair', 'mohon', 'baik', 'sistem']"
seller menunggu kejelasan paket customer kirim bogor barang kirim kalimantan seminggu eh disuruh tunggu kerja oke tunggu pantau pusat bantuan riwayat pengaduan eh dibuka muncul tulisan yaallah sungguh mempersulit orang jualan untung pantau dipersulit barang ditangan customer,seller menunggu kejelasan paket customer kirim bogor barang kirim kalimantan seminggu eh disuruh tunggu kerja oke tunggu pantau pusat bantuan riwayat pengaduan eh dibuka muncul tulisan yaallah sungguh mempersulit orang jualan untung pantau dipersulit barang ditangan customer,seller menunggu kejelasan paket customer kirim bogor barang kirim kalimantan seminggu eh disuruh tunggu kerja oke tunggu pantau pusat bantuan riwayat pengaduan eh dibuka muncul tulisan yaallah sungguh mempersulit orang jualan untung pantau dipersulit barang ditangan customer,"['seller', 'menunggu', 'kejelasan', 'paket', 'customer', 'kirim', 'bogor', 'barang', 'kirim', 'kalimantan', 'seminggu', 'eh', 'disuruh', 'tunggu', 'kerja', 'oke', 'tunggu', 'pantau', 'pusat', 'bantuan', 'riwayat', 'pengaduan', 'eh', 'dibuka', 'muncul', 'tulisan', 'yaallah', 'sungguh', 'mempersulit', 'orang', 'jualan', 'untung', 'pantau', 'dipersulit', 'barang', 'ditangan', 'customer']","['seller', 'menunggu', 'kejelasan', 'paket', 'customer', 'kirim', 'bogor', 'barang', 'kirim', 'kalimantan', 'seminggu', 'eh', 'disuruh', 'tunggu', 'kerja', 'oke', 'tunggu', 'pantau', 'pusat', 'bantuan', 'riwayat', 'pengaduan', 'eh', 'dibuka', 'muncul', 'tulisan', 'yaallah', 'sungguh', 'mempersulit', 'orang', 'jualan', 'untung', 'pantau', 'dipersulit', 'barang', 'ditangan', 'customer']","['seller', 'tunggu', 'jelas', 'paket', 'customer', 'kirim', 'bogor', 'barang', 'kirim', 'kalimantan', 'minggu', 'eh', 'suruh', 'tunggu', 'kerja', 'oke', 'tunggu', 'pantau', 'pusat', 'bantu', 'riwayat', 'adu', 'eh', 'buka', 'muncul', 'tulis', 'yaallah', 'sungguh', 'sulit', 'orang', 'jual', 'untung', 'pantau', 'sulit', 'barang', 'tang', 'customer']"
ribet berhasil bikin akun shop peraturan ujungujungnya hasil video posting niat usaha dibikin ribet dana komisi masuk diterima pembeli pakai acara nunggu komisi pretttt capekcapek posting video jalan video tayangan nol tayangan melanggar kaya dasar preetttttttttttttttt,ribet berhasil bikin akun shop peraturan ujungujungnya hasil video posting niat usaha dibikin ribet dana komisi masuk diterima pembeli pakai acara nunggu komisi pret capekcapek posting video jalan video tayangan nol tayangan melanggar kaya dasar preet,ribet berhasil bikin akun shop peraturan ujungujungnya hasil video posting niat usaha dibikin ribet dana komisi masuk diterima pembeli pakai acara nunggu komisi pret capekcapek posting video jalan video tayangan nol tayangan melanggar kaya dasar preet,"['ribet', 'berhasil', 'bikin', 'akun', 'shop', 'peraturan', 'ujungujungnya', 'hasil', 'video', 'posting', 'niat', 'usaha', 'dibikin', 'ribet', 'dana', 'komisi', 'masuk', 'diterima', 'pembeli', 'pakai', 'acara', 'nunggu', 'komisi', 'pret', 'capekcapek', 'posting', 'video', 'jalan', 'video', 'tayangan', 'nol', 'tayangan', 'melanggar', 'kaya', 'dasar', 'preet']","['ribet', 'berhasil', 'bikin', 'akun', 'shop', 'peraturan', 'ujungujungnya', 'hasil', 'video', 'posting', 'niat', 'usaha', 'dibikin', 'ribet', 'dana', 'komisi', 'masuk', 'diterima', 'pembeli', 'pakai', 'acara', 'nunggu', 'komisi', 'pret', 'capekcapek', 'posting', 'video', 'jalan', 'video', 'tayangan', 'nol', 'tayangan', 'melanggar', 'kaya', 'dasar', 'preet']","['ribet', 'hasil', 'bikin', 'akun', 'shop', 'atur', 'ujungujungnya', 'hasil', 'video', 'posting', 'niat', 'usaha', 'bikin', 'ribet', 'dana', 'komisi', 'masuk', 'terima', 'beli', 'pakai', 'acara', 'nunggu', 'komisi', 'pret', 'capekcapek', 'posting', 'video', 'jalan', 'video', 'tayang', 'nol', 'tayang', 'langgar', 'kaya', 'dasar', 'preet']"
login akun tiktokshopudah uploud produk susah bgtmudah hecker aplikasisaya hecker habis uang jualan syakecewa,login akun tiktokshopudah uploud produk susah bgtmudah hecker aplikasisaya hecker habis uang jualan syakecewa,login akun tiktokshopudah uploud produk susah bgtmudah hecker aplikasisaya hecker habis uang jualan syakecewa,"['login', 'akun', 'tiktokshopudah', 'uploud', 'produk', 'susah', 'bgtmudah', 'hecker', 'aplikasisaya', 'hecker', 'habis', 'uang', 'jualan', 'syakecewa']","['login', 'akun', 'tiktokshopudah', 'uploud', 'produk', 'susah', 'bgtmudah', 'hecker', 'aplikasisaya', 'hecker', 'habis', 'uang', 'jualan', 'syakecewa']","['login', 'akun', 'tiktokshopudah', 'uploud', 'produk', 'susah', 'bgtmudah', 'hecker', 'aplikasisaya', 'hecker', 'habis', 'uang', 'jual', 'syakecewa']"
ya douwdlot brlm pakai barangnya toko,ya douwdlot brlm pakai barangnya toko,ya douwdlot brlm pakai barangnya toko,"['ya', 'douwdlot', 'brlm', 'pakai', 'barangnya', 'toko']","['douwdlot', 'brlm', 'pakai', 'barangnya', 'toko']","['douwdlot', 'brlm', 'pakai', 'barang', 'toko']"
bagus,bagus,bagus,['bagus'],['bagus'],['bagus']
halo admin alihkan akun resmi akun pemasaran kali percobaan tautkan mohon penjelasannya,halo admin alihkan akun resmi akun pemasaran kali percobaan tautkan mohon penjelasannya,halo admin alihkan akun resmi akun pemasaran kali percobaan tautkan mohon penjelasannya,"['halo', 'admin', 'alihkan', 'akun', 'resmi', 'akun', 'pemasaran', 'kali', 'percobaan', 'tautkan', 'mohon', 'penjelasannya']","['halo', 'admin', 'alihkan', 'akun', 'resmi', 'akun', 'pemasaran', 'kali', 'percobaan', 'tautkan', 'mohon', 'penjelasannya']","['halo', 'admin', 'alih', 'akun', 'resmi', 'akun', 'pasar', 'kali', 'coba', 'taut', 'mohon', 'jelas']"
dear admin pusat mohon bantuanya toko parno store way tutup akun yahkarena toko penipuansaya salah korbanyasaya bingung paham pengaduanya apamohon bantuanya tutup akun akun parno store way merugikan orang banyaksekian terima kasihduit lenyap,dear admin pusat mohon bantuanya toko parno store way tutup akun yahkarena toko penipuansaya salah korbanyasaya bingung paham pengaduanya apamohon bantuanya tutup akun akun parno store way merugikan orang banyaksekian terima kasihduit lenyap,dear admin pusat mohon bantuanya toko parno store way tutup akun yahkarena toko penipuansaya salah korbanyasaya bingung paham pengaduanya apamohon bantuanya tutup akun akun parno store way merugikan orang banyaksekian terima kasihduit lenyap,"['dear', 'admin', 'pusat', 'mohon', 'bantuanya', 'toko', 'parno', 'store', 'way', 'tutup', 'akun', 'yahkarena', 'toko', 'penipuansaya', 'salah', 'korbanyasaya', 'bingung', 'paham', 'pengaduanya', 'apamohon', 'bantuanya', 'tutup', 'akun', 'akun', 'parno', 'store', 'way', 'merugikan', 'orang', 'banyaksekian', 'terima', 'kasihduit', 'lenyap']","['dear', 'admin', 'pusat', 'mohon', 'bantuanya', 'toko', 'parno', 'store', 'way', 'tutup', 'akun', 'yahkarena', 'toko', 'penipuansaya', 'salah', 'korbanyasaya', 'bingung', 'paham', 'pengaduanya', 'apamohon', 'bantuanya', 'tutup', 'akun', 'akun', 'parno', 'store', 'way', 'merugikan', 'orang', 'banyaksekian', 'terima', 'kasihduit', 'lenyap']","['dear', 'admin', 'pusat', 'mohon', 'bantuanya', 'toko', 'parno', 'store', 'way', 'tutup', 'akun', 'yahkarena', 'toko', 'penipuansaya', 'salah', 'korbanyasaya', 'bingung', 'paham', 'pengaduanya', 'apamohon', 'bantuanya', 'tutup', 'akun', 'akun', 'parno', 'store', 'way', 'rugi', 'orang', 'banyaksekian', 'terima', 'kasihduit', 'lenyap']"
nonaktifkan akun tertaut tik tok afiliate akun tik tok afiliate saldo komisi pemasaran uang laporan respon robot viralkan,nonaktifkan akun tertaut tik tok afiliate akun tik tok afiliate saldo komisi pemasaran uang laporan respon robot viralkan,nonaktifkan akun tertaut tik tok afiliate akun tik tok afiliate saldo komisi pemasaran uang laporan respon robot viralkan,"['nonaktifkan', 'akun', 'tertaut', 'tik', 'tok', 'afiliate', 'akun', 'tik', 'tok', 'afiliate', 'saldo', 'komisi', 'pemasaran', 'uang', 'laporan', 'respon', 'robot', 'viralkan']","['nonaktifkan', 'akun', 'tertaut', 'tik', 'tok', 'afiliate', 'akun', 'tik', 'tok', 'afiliate', 'saldo', 'komisi', 'pemasaran', 'uang', 'laporan', 'respon', 'robot', 'viralkan']","['nonaktif', 'akun', 'taut', 'tik', 'tok', 'afiliate', 'akun', 'tik', 'tok', 'afiliate', 'saldo', 'komisi', 'pasar', 'uang', 'lapor', 'respon', 'robot', 'viralkan']"
kasih bintang uang tarik kasih bintang deh ãåââ akun dinonaktifkan poin tolong keluarga cekhout pakai akun aman kaget kena pelanggaran pelanggan pembeli pesanan palsu tipu rekomendasi aman jualan ãåëœâ,kasih bintang uang tarik kasih bintang deh akun dinonaktifkan poin tolong keluarga cekhout pakai akun aman kaget kena pelanggaran pelanggan pembeli pesanan palsu tipu rekomendasi aman jualan,kasih bintang uang tarik kasih bintang deh akun dinonaktifkan poin tolong keluarga cekhout pakai akun aman kaget kena pelanggaran pelanggan pembeli pesanan palsu tipu rekomendasi aman jualan,"['kasih', 'bintang', 'uang', 'tarik', 'kasih', 'bintang', 'deh', 'akun', 'dinonaktifkan', 'poin', 'tolong', 'keluarga', 'cekhout', 'pakai', 'akun', 'aman', 'kaget', 'kena', 'pelanggaran', 'pelanggan', 'pembeli', 'pesanan', 'palsu', 'tipu', 'rekomendasi', 'aman', 'jualan']","['kasih', 'bintang', 'uang', 'tarik', 'kasih', 'bintang', 'deh', 'akun', 'dinonaktifkan', 'poin', 'keluarga', 'cekhout', 'pakai', 'akun', 'aman', 'kaget', 'kena', 'pelanggaran', 'pelanggan', 'pembeli', 'pesanan', 'palsu', 'tipu', 'rekomendasi', 'aman', 'jualan']","['kasih', 'bintang', 'uang', 'tarik', 'kasih', 'bintang', 'deh', 'akun', 'nonaktif', 'poin', 'keluarga', 'cekhout', 'pakai', 'akun', 'aman', 'kaget', 'kena', 'langgar', 'langgan', 'beli', 'pesan', 'palsu', 'tipu', 'rekomendasi', 'aman', 'jual']"
tolong solusi isi data aplikasi sesuai nama toko nyatpi keterangannya nama toko terpakaitrus dicoba dongdan note mencapai batas pendaftaran akuntrus nomor ktp dipakai lgiudah kirim email disuruh pakai ktp lainbagaimana bisaktp tolong dibantusudah setujui pas verifikasi dokumen dipersulitdan tolong jwab robotminta info yasya kirim email berkali screen shot notes,tolong solusi isi data aplikasi sesuai nama toko nyatpi keterangannya nama toko terpakaitrus dicoba dongdan note mencapai batas pendaftaran akuntrus nomor ktp dipakai lgiudah kirim email disuruh pakai ktp lainbagaimana bisaktp tolong dibantusudah setujui pas verifikasi dokumen dipersulitdan tolong jwab robotminta info yasya kirim email berkali screen shot notes,tolong solusi isi data aplikasi sesuai nama toko nyatpi keterangannya nama toko terpakaitrus dicoba dongdan note mencapai batas pendaftaran akuntrus nomor ktp dipakai lgiudah kirim email disuruh pakai ktp lainbagaimana bisaktp tolong dibantusudah setujui pas verifikasi dokumen dipersulitdan tolong jwab robotminta info yasya kirim email berkali screen shot notes,"['tolong', 'solusi', 'isi', 'data', 'aplikasi', 'sesuai', 'nama', 'toko', 'nyatpi', 'keterangannya', 'nama', 'toko', 'terpakaitrus', 'dicoba', 'dongdan', 'note', 'mencapai', 'batas', 'pendaftaran', 'akuntrus', 'nomor', 'ktp', 'dipakai', 'lgiudah', 'kirim', 'email', 'disuruh', 'pakai', 'ktp', 'lainbagaimana', 'bisaktp', 'tolong', 'dibantusudah', 'setujui', 'pas', 'verifikasi', 'dokumen', 'dipersulitdan', 'tolong', 'jwab', 'robotminta', 'info', 'yasya', 'kirim', 'email', 'berkali', 'screen', 'shot', 'notes']","['solusi', 'isi', 'data', 'aplikasi', 'sesuai', 'nama', 'toko', 'nyatpi', 'keterangannya', 'nama', 'toko', 'terpakaitrus', 'dicoba', 'dongdan', 'note', 'mencapai', 'batas', 'pendaftaran', 'akuntrus', 'nomor', 'ktp', 'dipakai', 'lgiudah', 'kirim', 'email', 'disuruh', 'pakai', 'ktp', 'lainbagaimana', 'bisaktp', 'dibantusudah', 'setujui', 'pas', 'verifikasi', 'dokumen', 'dipersulitdan', 'jwab', 'robotminta', 'info', 'yasya', 'kirim', 'email', 'berkali', 'screen', 'shot', 'notes']","['solusi', 'isi', 'data', 'aplikasi', 'sesuai', 'nama', 'toko', 'nyatpi', 'terang', 'nama', 'toko', 'terpakaitrus', 'coba', 'dongdan', 'note', 'capai', 'batas', 'daftar', 'akuntrus', 'nomor', 'ktp', 'pakai', 'lgiudah', 'kirim', 'email', 'suruh', 'pakai', 'ktp', 'lainbagaimana', 'bisaktp', 'dibantusudah', 'tuju', 'pas', 'verifikasi', 'dokumen', 'dipersulitdan', 'jwab', 'robotminta', 'info', 'yasya', 'kirim', 'email', 'kali', 'screen', 'shot', 'notes']"
marketplace terparah tiktok seller pencairan dana pikir usaha pakai modal tong uang modal putar customer servis robotada manusia bisu customer service seller modal tipis mending jualan marketplace deh sopie tokped jualan asli cair duwit modal baliknya,marketplace terparah tiktok seller pencairan dana pikir usaha pakai modal tong uang modal putar customer servis robotada manusia bisu customer service seller modal tipis mending jualan marketplace deh sopie tokped jualan asli cair duwit modal baliknya,marketplace terparah tiktok seller pencairan dana pikir usaha pakai modal tong uang modal putar customer servis robotada manusia bisu customer service seller modal tipis mending jualan marketplace deh sopie tokped jualan asli cair duwit modal baliknya,"['marketplace', 'terparah', 'tiktok', 'seller', 'pencairan', 'dana', 'pikir', 'usaha', 'pakai', 'modal', 'tong', 'uang', 'modal', 'putar', 'customer', 'servis', 'robotada', 'manusia', 'bisu', 'customer', 'service', 'seller', 'modal', 'tipis', 'mending', 'jualan', 'marketplace', 'deh', 'sopie', 'tokped', 'jualan', 'asli', 'cair', 'duwit', 'modal', 'baliknya']","['marketplace', 'terparah', 'tiktok', 'seller', 'pencairan', 'dana', 'pikir', 'usaha', 'pakai', 'modal', 'tong', 'uang', 'modal', 'putar', 'customer', 'servis', 'robotada', 'manusia', 'bisu', 'customer', 'service', 'seller', 'modal', 'tipis', 'mending', 'jualan', 'marketplace', 'deh', 'sopie', 'tokped', 'jualan', 'asli', 'cair', 'duwit', 'modal', 'baliknya']","['marketplace', 'parah', 'tiktok', 'seller', 'cair', 'dana', 'pikir', 'usaha', 'pakai', 'modal', 'tong', 'uang', 'modal', 'putar', 'customer', 'servis', 'robotada', 'manusia', 'bisu', 'customer', 'service', 'seller', 'modal', 'tipis', 'mending', 'jual', 'marketplace', 'deh', 'sopie', 'tokped', 'jual', 'asli', 'cair', 'duwit', 'modal', 'balik']"
kadang aneh biyaya admin gedecair retur seller tolong penjual tolong expedisi kasih penilaian seler kena konsumen paket retur cod hyy adil,kadang aneh biyaya admin gedecair retur seller tolong penjual tolong expedisi kasih penilaian seler kena konsumen paket retur cod hyy adil,kadang aneh biyaya admin gedecair retur seller tolong penjual tolong expedisi kasih penilaian seler kena konsumen paket retur cod hyy adil,"['kadang', 'aneh', 'biyaya', 'admin', 'gedecair', 'retur', 'seller', 'tolong', 'penjual', 'tolong', 'expedisi', 'kasih', 'penilaian', 'seler', 'kena', 'konsumen', 'paket', 'retur', 'cod', 'hyy', 'adil']","['kadang', 'aneh', 'biyaya', 'admin', 'gedecair', 'retur', 'seller', 'penjual', 'expedisi', 'kasih', 'penilaian', 'seler', 'kena', 'konsumen', 'paket', 'retur', 'cod', 'hyy', 'adil']","['kadang', 'aneh', 'biyaya', 'admin', 'gedecair', 'retur', 'seller', 'jual', 'expedisi', 'kasih', 'nilai', 'seler', 'kena', 'konsumen', 'paket', 'retur', 'cod', 'hyy', 'adil']"
masuk unggah dokumen daftar web aplikasi daftar masuk log,masuk unggah dokumen daftar web aplikasi daftar masuk log,masuk unggah dokumen daftar web aplikasi daftar masuk log,"['masuk', 'unggah', 'dokumen', 'daftar', 'web', 'aplikasi', 'daftar', 'masuk', 'log']","['masuk', 'unggah', 'dokumen', 'daftar', 'web', 'aplikasi', 'daftar', 'masuk', 'log']","['masuk', 'unggah', 'dokumen', 'daftar', 'web', 'aplikasi', 'daftar', 'masuk', 'log']"
kali daftar unggah dokumen tolak,kali daftar unggah dokumen tolak,kali daftar unggah dokumen tolak,"['kali', 'daftar', 'unggah', 'dokumen', 'tolak']","['kali', 'daftar', 'unggah', 'dokumen', 'tolak']","['kali', 'daftar', 'unggah', 'dokumen', 'tolak']"
download tik tok seller center mu masuk akurad tolong perbaiki develover kecewa aplikasi kasih bintang,download tik tok seller center mu masuk akurad tolong perbaiki develover kecewa aplikasi kasih bintang,download tik tok seller center mu masuk akurad tolong perbaiki develover kecewa aplikasi kasih bintang,"['download', 'tik', 'tok', 'seller', 'center', 'mu', 'masuk', 'akurad', 'tolong', 'perbaiki', 'develover', 'kecewa', 'aplikasi', 'kasih', 'bintang']","['download', 'tik', 'tok', 'seller', 'center', 'mu', 'masuk', 'akurad', 'perbaiki', 'develover', 'kecewa', 'aplikasi', 'kasih', 'bintang']","['download', 'tik', 'tok', 'seller', 'center', 'mu', 'masuk', 'akurad', 'baik', 'develover', 'kecewa', 'aplikasi', 'kasih', 'bintang']"
gagal verifikasi,gagal verifikasi,gagal verifikasi,"['gagal', 'verifikasi']","['gagal', 'verifikasi']","['gagal', 'verifikasi']"
ribet login pakai ktp modal login akun google kode aplikasi payah,ribet login pakai ktp modal login akun google kode aplikasi payah,ribet login pakai ktp modal login akun google kode aplikasi payah,"['ribet', 'login', 'pakai', 'ktp', 'modal', 'login', 'akun', 'google', 'kode', 'aplikasi', 'payah']","['ribet', 'login', 'pakai', 'ktp', 'modal', 'login', 'akun', 'google', 'kode', 'aplikasi', 'payah']","['ribet', 'login', 'pakai', 'ktp', 'modal', 'login', 'akun', 'google', 'kode', 'aplikasi', 'payah']"
bikin tiktok shop ganti akun utamajadi melepas tautannya akun ganti akun utama barutapi suruh unggah dokumen pas diunggah limit pembuatan akunpadahal akun pas cs akun aneh konsisten jawabannya saran ajaklo lepas tautan akun tiktok shop dikasih fitur hapus permanen akun tiktok shop,bikin tiktok shop ganti akun utamajadi melepas tautannya akun ganti akun utama barutapi suruh unggah dokumen pas diunggah limit pembuatan akunpadahal akun pas cs akun aneh konsisten jawabannya saran ajaklo lepas tautan akun tiktok shop dikasih fitur hapus permanen akun tiktok shop,bikin tiktok shop ganti akun utamajadi melepas tautannya akun ganti akun utama barutapi suruh unggah dokumen pas diunggah limit pembuatan akunpadahal akun pas cs akun aneh konsisten jawabannya saran ajaklo lepas tautan akun tiktok shop dikasih fitur hapus permanen akun tiktok shop,"['bikin', 'tiktok', 'shop', 'ganti', 'akun', 'utamajadi', 'melepas', 'tautannya', 'akun', 'ganti', 'akun', 'utama', 'barutapi', 'suruh', 'unggah', 'dokumen', 'pas', 'diunggah', 'limit', 'pembuatan', 'akunpadahal', 'akun', 'pas', 'cs', 'akun', 'aneh', 'konsisten', 'jawabannya', 'saran', 'ajaklo', 'lepas', 'tautan', 'akun', 'tiktok', 'shop', 'dikasih', 'fitur', 'hapus', 'permanen', 'akun', 'tiktok', 'shop']","['bikin', 'tiktok', 'shop', 'ganti', 'akun', 'utamajadi', 'melepas', 'tautannya', 'akun', 'ganti', 'akun', 'utama', 'barutapi', 'suruh', 'unggah', 'dokumen', 'pas', 'diunggah', 'limit', 'pembuatan', 'akunpadahal', 'akun', 'pas', 'cs', 'akun', 'aneh', 'konsisten', 'jawabannya', 'saran', 'ajaklo', 'lepas', 'tautan', 'akun', 'tiktok', 'shop', 'dikasih', 'fitur', 'hapus', 'permanen', 'akun', 'tiktok', 'shop']","['bikin', 'tiktok', 'shop', 'ganti', 'akun', 'utamajadi', 'lepas', 'taut', 'akun', 'ganti', 'akun', 'utama', 'barutapi', 'suruh', 'unggah', 'dokumen', 'pas', 'unggah', 'limit', 'buat', 'akunpadahal', 'akun', 'pas', 'cs', 'akun', 'aneh', 'konsisten', 'jawab', 'saran', 'ajaklo', 'lepas', 'taut', 'akun', 'tiktok', 'shop', 'kasih', 'fitur', 'hapus', 'permanen', 'akun', 'tiktok', 'shop']"
pencarian,pencarian,pencarian,['pencarian'],['pencarian'],['cari']
oke aplikasinya,oke aplikasinya,oke aplikasinya,"['oke', 'aplikasinya']","['oke', 'aplikasinya']","['oke', 'aplikasi']"
susah upload produk produk kali blokir ajukan banding terima,susah upload produk produk kali blokir ajukan banding terima,susah upload produk produk kali blokir ajukan banding terima,"['susah', 'upload', 'produk', 'produk', 'kali', 'blokir', 'ajukan', 'banding', 'terima']","['susah', 'upload', 'produk', 'produk', 'kali', 'blokir', 'ajukan', 'banding', 'terima']","['susah', 'upload', 'produk', 'produk', 'kali', 'blokir', 'aju', 'banding', 'terima']"
pas mah registrasi gambar laporkan nunggu,pas mah registrasi gambar laporkan nunggu,pas mah registrasi gambar laporkan nunggu,"['pas', 'mah', 'registrasi', 'gambar', 'laporkan', 'nunggu']","['pas', 'mah', 'registrasi', 'gambar', 'laporkan', 'nunggu']","['pas', 'mah', 'registrasi', 'gambar', 'lapor', 'nunggu']"
verifikasi payah,verifikasi payah,verifikasi payah,"['verifikasi', 'payah']","['verifikasi', 'payah']","['verifikasi', 'payah']"
masuk ganti nama susah pakai,masuk ganti nama susah pakai,masuk ganti nama susah pakai,"['masuk', 'ganti', 'nama', 'susah', 'pakai']","['masuk', 'ganti', 'nama', 'susah', 'pakai']","['masuk', 'ganti', 'nama', 'susah', 'pakai']"
upgrade logut suruh verifikaai dokumen upload ktp mencapai batas ya orang daftar akun disuruh verifikasi klik masuk daftar nih,upgrade logut suruh verifikaai dokumen upload ktp mencapai batas ya orang daftar akun disuruh verifikasi klik masuk daftar nih,upgrade logut suruh verifikaai dokumen upload ktp mencapai batas ya orang daftar akun disuruh verifikasi klik masuk daftar nih,"['upgrade', 'logut', 'suruh', 'verifikaai', 'dokumen', 'upload', 'ktp', 'mencapai', 'batas', 'ya', 'orang', 'daftar', 'akun', 'disuruh', 'verifikasi', 'klik', 'masuk', 'daftar', 'nih']","['upgrade', 'logut', 'suruh', 'verifikaai', 'dokumen', 'upload', 'ktp', 'mencapai', 'batas', 'orang', 'daftar', 'akun', 'disuruh', 'verifikasi', 'klik', 'masuk', 'daftar', 'nih']","['upgrade', 'logut', 'suruh', 'verifikaai', 'dokumen', 'upload', 'ktp', 'capai', 'batas', 'orang', 'daftar', 'akun', 'suruh', 'verifikasi', 'klik', 'masuk', 'daftar', 'nih']"
login suruh login asu,login suruh login asu,login suruh login asu,"['login', 'suruh', 'login', 'asu']","['login', 'suruh', 'login', 'asu']","['login', 'suruh', 'login', 'asu']"
rekomended amanah jualan dipersulit,rekomended amanah jualan dipersulit,rekomended amanah jualan dipersulit,"['rekomended', 'amanah', 'jualan', 'dipersulit']","['rekomended', 'amanah', 'jualan', 'dipersulit']","['rekomended', 'amanah', 'jual', 'sulit']"
daftar,daftar,daftar,['daftar'],['daftar'],['daftar']
sih admin masuk masuk pakai akun tiktok suruh verifikasi data bikin dicoba kali,sih admin masuk masuk pakai akun tiktok suruh verifikasi data bikin dicoba kali,sih admin masuk masuk pakai akun tiktok suruh verifikasi data bikin dicoba kali,"['sih', 'admin', 'masuk', 'masuk', 'pakai', 'akun', 'tiktok', 'suruh', 'verifikasi', 'data', 'bikin', 'dicoba', 'kali']","['sih', 'admin', 'masuk', 'masuk', 'pakai', 'akun', 'tiktok', 'suruh', 'verifikasi', 'data', 'bikin', 'dicoba', 'kali']","['sih', 'admin', 'masuk', 'masuk', 'pakai', 'akun', 'tiktok', 'suruh', 'verifikasi', 'data', 'bikin', 'coba', 'kali']"
