content,data_clean_content,slang_replacement_content,tokenized_content,remove_stopwords_content,stemmed_content
"Shopee makin lama makin lemot, suka gk muncul gambar pdhl jrngn kenceng abis, lalu saat kita klik lama bngt respon sampe bermenit"" , terkadang kita mau cek yg baru dilihat malah gk kesimpen. Tolong diperbaiki lg mungkin jg karena terlalu kebanyakan fitur kali ya makanya shopee jd lemot kyk gini, bagus sih dalam 1 apk kita bisa memakai beberapa fitur yg di tawarkan namun jikalau menjadi lamban begini mending di kurangi fitur yg tdk terlalu penting, contoh jngn terlalu banyak game shopee..",shopee makin lama makin lemot suka gk muncul gambar pdhl jrngn kenceng abis lalu saat kita klik lama bngt respon sampe bermenit terkadang kita mau cek yg baru dilihat malah gk kesimpen tolong diperbaiki lg mungkin jg karena terlalu kebanyakan fitur kali ya makanya shopee jd lemot kyk gini bagus sih dalam apk kita bisa memakai beberapa fitur yg di tawarkan namun jikalau menjadi lamban begini mending di kurangi fitur yg tdk terlalu penting contoh jngn terlalu banyak game shopee,shopee makin lama makin lemot suka tidak muncul gambar padahal  jrngn kencang  abis lalu saat kita klik lama sangat  respon sampai bermenit terkadang kita mau cek yang  baru dilihat malah tidak kesimpen tolong diperbaiki lagi  mungkin juga karena terlalu kebanyakan fitur kali ya makanya shopee jadi lemot kayak  gini bagus sih dalam apk kita bisa memakai beberapa fitur yang  di tawarkan namun jikalau menjadi lamban begini mending di kurangi fitur yang  tidak terlalu penting contoh jangan terlalu banyak game shopee,"['shopee', 'makin', 'lama', 'makin', 'lemot', 'suka', 'tidak', 'muncul', 'gambar', 'padahal', 'jrngn', 'kencang', 'abis', 'lalu', 'saat', 'kita', 'klik', 'lama', 'sangat', 'respon', 'sampai', 'bermenit', 'terkadang', 'kita', 'mau', 'cek', 'yang', 'baru', 'dilihat', 'malah', 'tidak', 'kesimpen', 'tolong', 'diperbaiki', 'lagi', 'mungkin', 'juga', 'karena', 'terlalu', 'kebanyakan', 'fitur', 'kali', 'ya', 'makanya', 'shopee', 'jadi', 'lemot', 'kayak', 'gini', 'bagus', 'sih', 'dalam', 'apk', 'kita', 'bisa', 'memakai', 'beberapa', 'fitur', 'yang', 'di', 'tawarkan', 'namun', 'jikalau', 'menjadi', 'lamban', 'begini', 'mending', 'di', 'kurangi', 'fitur', 'yang', 'tidak', 'terlalu', 'penting', 'contoh', 'jangan', 'terlalu', 'banyak', 'game', 'shopee']","['shopee', 'makin', 'lama', 'makin', 'lemot', 'suka', 'tidak', 'muncul', 'gambar', 'padahal', 'jrngn', 'kencang', 'abis', 'lalu', 'klik', 'lama', 'sangat', 'respon', 'bermenit', 'terkadang', 'mau', 'cek', 'baru', 'dilihat', 'malah', 'tidak', 'kesimpen', 'diperbaiki', 'mungkin', 'terlalu', 'kebanyakan', 'fitur', 'kali', 'makanya', 'shopee', 'jadi', 'lemot', 'kayak', 'gini', 'bagus', 'sih', 'apk', 'memakai', 'beberapa', 'fitur', 'tawarkan', 'jikalau', 'menjadi', 'lamban', 'begini', 'mending', 'kurangi', 'fitur', 'tidak', 'terlalu', 'penting', 'contoh', 'jangan', 'terlalu', 'banyak', 'game', 'shopee']","['shopee', 'makin', 'lama', 'makin', 'lot', 'suka', 'tidak', 'muncul', 'gambar', 'padahal', 'jrngn', 'kencang', 'abis', 'lalu', 'klik', 'lama', 'sangat', 'respon', 'menit', 'terkadang', 'mau', 'cek', 'baru', 'lihat', 'malah', 'tidak', 'kesimpen', 'baik', 'mungkin', 'terlalu', 'banyak', 'fitur', 'kali', 'makanya', 'shopee', 'jadi', 'lot', 'kayak', 'gin', 'bagus', 'sih', 'apk', 'pakai', 'beberapa', 'fitur', 'tawar', 'jikalau', 'jadi', 'lamban', 'begini', 'mending', 'kurang', 'fitur', 'tidak', 'terlalu', 'penting', 'contoh', 'jangan', 'terlalu', 'banyak', 'game', 'shopee']"
Pengiriman skrng ngaret semua ga sesuai estimasi ditunggu tunggu ga tiba juga,pengiriman skrng ngaret semua ga sesuai estimasi ditunggu tunggu ga tiba juga,pengiriman sekarang  ngaret semua tidak sesuai estimasi ditunggu tunggu tidak tiba juga,"['pengiriman', 'sekarang', 'ngaret', 'semua', 'tidak', 'sesuai', 'estimasi', 'ditunggu', 'tunggu', 'tidak', 'tiba', 'juga']","['pengiriman', 'sekarang', 'ngaret', 'semua', 'tidak', 'sesuai', 'estimasi', 'ditunggu', 'tunggu', 'tidak', 'tiba']","['kirim', 'sekarang', 'ngaret', 'semua', 'tidak', 'sesuai', 'estimasi', 'tunggu', 'tunggu', 'tidak', 'tiba']"
Ngajuin paylater di tolak mulu padahal data udh bener muka udh bener ktp bener susah amat bukan sekali dua kali tapi udh beberapa puluh kali nyoba tetep aja di tolak,ngajuin paylater di tolak mulu padahal data udh bener muka udh bener ktp bener susah amat bukan sekali dua kali tapi udh beberapa puluh kali nyoba tetep aja di tolak,ngajuin paylater di tolak terus  padahal data sudah benar  muka sudah benar  ktp benar  susah amat bukan sekali dua kali tapi sudah beberapa puluh kali coba  tetap  saja  di tolak,"['ngajuin', 'paylater', 'di', 'tolak', 'terus', 'padahal', 'data', 'sudah', 'benar', 'muka', 'sudah', 'benar', 'ktp', 'benar', 'susah', 'amat', 'bukan', 'sekali', 'dua', 'kali', 'tapi', 'sudah', 'beberapa', 'puluh', 'kali', 'coba', 'tetap', 'saja', 'di', 'tolak']","['ngajuin', 'paylater', 'tolak', 'terus', 'padahal', 'data', 'benar', 'muka', 'benar', 'ktp', 'benar', 'susah', 'bukan', 'sekali', 'kali', 'beberapa', 'puluh', 'kali', 'coba', 'tetap', 'tolak']","['ngajuin', 'paylater', 'tolak', 'terus', 'padahal', 'data', 'benar', 'muka', 'benar', 'ktp', 'benar', 'susah', 'bukan', 'sekali', 'kali', 'beberapa', 'puluh', 'kali', 'coba', 'tetap', 'tolak']"
"Tranfer dari shopee sangat mengecewakan, sangat lama",tranfer dari shopee sangat mengecewakan sangat lama,tranfer dari shopee sangat mengecewakan sangat lama,"['tranfer', 'dari', 'shopee', 'sangat', 'mengecewakan', 'sangat', 'lama']","['tranfer', 'shopee', 'sangat', 'mengecewakan', 'sangat', 'lama']","['tranfer', 'shopee', 'sangat', 'kecewa', 'sangat', 'lama']"
Semakin lemot saja..,semakin lemot saja,semakin lemot saja,"['semakin', 'lemot', 'saja']","['semakin', 'lemot']","['makin', 'lot']"
CS SHOPPE TIDAK BEKERJA DENGAN BAIK PANTAS KALAH SAING DENGAN TIK TOK.,cs shoppe tidak bekerja dengan baik pantas kalah saing dengan tik tok,cs shoppe tidak bekerja dengan baik pantas kalah saing dengan tik tok,"['cs', 'shoppe', 'tidak', 'bekerja', 'dengan', 'baik', 'pantas', 'kalah', 'saing', 'dengan', 'tik', 'tok']","['cs', 'shoppe', 'tidak', 'bekerja', 'baik', 'pantas', 'kalah', 'saing', 'tik', 'tok']","['cs', 'shoppe', 'tidak', 'kerja', 'baik', 'pantas', 'kalah', 'saing', 'tik', 'tok']"
"APLIKASI BABI, IKLAN DI GAME MANA MANA",aplikasi babi iklan di game mana mana,aplikasi babi iklan di game mana mana,"['aplikasi', 'babi', 'iklan', 'di', 'game', 'mana', 'mana']","['aplikasi', 'babi', 'iklan', 'game', 'mana', 'mana']","['aplikasi', 'babi', 'iklan', 'game', 'mana', 'mana']"
"Kebanyakan loading,mo isi pulsa aja susah nya minta ampun",kebanyakan loading mo isi pulsa aja susah nya minta ampun,kebanyakan loading mau  isi pulsa saja  susah nya minta ampun,"['kebanyakan', 'loading', 'mau', 'isi', 'pulsa', 'saja', 'susah', 'nya', 'minta', 'ampun']","['kebanyakan', 'loading', 'mau', 'isi', 'pulsa', 'susah', 'nya', 'minta', 'ampun']","['banyak', 'loading', 'mau', 'isi', 'pulsa', 'susah', 'nya', 'minta', 'ampun']"
"Hee tolongg ya, knp shoppe g gd gratis ongkir, jdi kesel dehh,",hee tolongg ya knp shoppe g gd gratis ongkir jdi kesel dehh,hee tolongg ya kenapa shoppe tidak gd gratis ongkir jadi kesal  dehh,"['hee', 'tolongg', 'ya', 'kenapa', 'shoppe', 'tidak', 'gd', 'gratis', 'ongkir', 'jadi', 'kesal', 'dehh']","['hee', 'tolongg', 'shoppe', 'tidak', 'gd', 'gratis', 'ongkir', 'jadi', 'kesal', 'dehh']","['hee', 'tolongg', 'shoppe', 'tidak', 'gd', 'gratis', 'ongkir', 'jadi', 'kesal', 'dehh']"
"jadi lemot,berat ,,,gak endul👎👎",jadi lemot berat gak endul jempol ke bawah jempol ke bawah,jadi lemot berat tidak endul jempol ke bawah jempol ke bawah,"['jadi', 'lemot', 'berat', 'tidak', 'endul', 'jempol', 'ke', 'bawah', 'jempol', 'ke', 'bawah']","['jadi', 'lemot', 'berat', 'tidak', 'endul', 'jempol', 'bawah', 'jempol', 'bawah']","['jadi', 'lot', 'berat', 'tidak', 'endul', 'jempol', 'bawah', 'jempol', 'bawah']"
Saya suka shopeeBig,saya suka shopeebig,saya suka shopeebig,"['saya', 'suka', 'shopeebig']","['suka', 'shopeebig']","['suka', 'shopeebig']"
